timestamp,open,high,low,close,volume
2024-07-27,183.07,188.32,178.09,183.96,845365.300015
2024-07-28,183.95,186.68,181.13,184.91,440372.801946
2024-07-29,184.91,193.9,181.59,182.56,1097661.840712
2024-07-30,182.57,184.81,175.33,179.13,780609.162031
2024-07-31,179.16,184.56,171.6,171.69,721766.086789
2024-08-01,171.69,172.91,157.91,167.37,1277503.396126
2024-08-02,167.38,169.43,149.99,152.74,1440447.949096
2024-08-03,152.75,154.05,139.77,142.52,1075303.201944
2024-08-04,142.5,146.07,131.2,138.32,1438041.420885
2024-08-05,138.31,139.38,109.68,129.78,7318363.411139
2024-08-06,129.79,149.59,129.4,144.45,2016739.235358
2024-08-07,144.41,154.99,142.3,144.79,1615287.188634
2024-08-08,144.77,163.68,141.4,163.19,1635424.445366
2024-08-09,163.14,163.57,150.74,156.29,1082781.532613
2024-08-10,156.29,158.76,152.65,154.04,470396.457923
2024-08-11,154.05,158.0,141.17,141.56,849888.140478
2024-08-12,141.55,150.79,141.19,146.31,1074301.314125
2024-08-13,146.3,149.81,142.92,146.67,681657.137137
2024-08-14,146.65,152.17,142.38,143.68,861414.75233
2024-08-15,143.71,147.61,137.73,142.58,999898.422284
2024-08-16,142.57,144.94,136.1,139.06,761309.024637
2024-08-17,139.05,141.99,137.63,141.92,356110.375705
2024-08-18,141.92,147.36,140.55,142.39,459877.456595
2024-08-19,142.39,146.25,140.34,144.26,491952.672107
2024-08-20,144.26,148.87,140.9,142.28,562294.509434
2024-08-21,142.28,144.38,138.81,142.77,508885.626602
2024-08-22,142.78,144.85,140.57,143.23,327600.545237
2024-08-23,143.23,154.14,142.71,153.25,642180.596613
2024-08-24,153.25,162.43,151.97,160.67,633823.168311
2024-08-25,160.66,161.97,155.25,158.93,456231.529813
2024-08-26,158.92,162.0,155.53,157.11,562014.709027
2024-08-27,157.11,159.7,145.01,146.8,675017.011807
2024-08-28,146.8,148.94,140.53,143.92,800273.128547
2024-08-29,143.94,147.33,138.06,140.02,564210.196979
2024-08-30,140.0,141.13,132.06,137.99,827037.968612
2024-08-31,137.99,139.27,134.48,135.35,194994.658773
2024-09-01,135.36,136.14,127.7,128.47,659345.362682
2024-09-02,128.48,135.38,126.91,134.94,654791.146
2024-09-03,134.93,137.56,127.18,127.56,593966.340165
2024-09-04,127.56,135.0,122.5,133.61,813161.01933
2024-09-05,133.61,135.62,127.84,129.4,528591.254433
2024-09-06,129.39,134.29,120.5,125.03,1098050.003476
2024-09-07,125.03,129.48,124.12,127.71,417362.288875
2024-09-08,127.71,131.72,126.61,130.1,521453.812468
2024-09-09,130.12,137.1,126.92,135.05,855777.735382
2024-09-10,135.06,137.99,132.54,135.61,484788.263632
2024-09-11,135.61,135.88,128.19,132.4,632801.015342
2024-09-12,132.4,136.76,132.35,136.04,447652.409861
2024-09-13,136.05,139.86,131.7,138.98,484257.099309
2024-09-14,139.0,139.77,135.57,137.15,289072.135125
2024-09-15,137.14,137.93,130.4,131.39,323778.835677
2024-09-16,131.39,132.4,128.94,131.47,405637.691857
2024-09-17,131.47,135.56,130.17,131.51,428235.056964
2024-09-18,131.52,134.43,127.11,134.32,658144.268872
2024-09-19,134.32,144.07,134.25,142.86,848390.020916
2024-09-20,142.86,152.46,141.16,146.66,939249.802976
2024-09-21,146.67,149.98,144.64,149.46,273227.728443
2024-09-22,149.44,149.95,141.12,144.63,366208.421169
2024-09-23,144.64,149.04,142.13,144.79,478235.398876
2024-09-24,144.79,153.97,143.1,152.71,782779.540836
